id,album_id,person_id,role_id,instrument,note
1,1,1,1,,
2,2,1,1,,
3,3,3,1,,
4,4,3,1,,
5,5,3,1,,
6,6,3,1,,
7,7,3,1,,
8,8,3,1,,
9,9,25,1,,
10,10,25,1,,
11,11,25,1,,
12,12,25,1,,
13,13,25,1,,
14,14,25,1,,
15,15,25,1,,
16,16,25,1,,
17,17,25,1,,
18,18,25,1,,
19,19,25,1,,
20,20,25,1,,
21,21,62,1,,
22,22,62,1,,
23,23,62,1,,
24,24,62,1,,
25,25,62,1,,
26,26,62,1,,
27,27,62,1,,
28,28,62,1,,
29,29,62,1,,
30,30,62,1,,
31,31,62,1,,
32,32,62,1,,
33,33,62,1,,
34,34,62,1,,
35,35,62,1,,
36,36,62,1,,
37,37,62,1,,
38,38,62,1,,
39,39,62,1,,
40,40,62,1,,
41,41,62,1,,
42,42,62,1,,
43,43,62,1,,
44,44,62,1,,
45,45,62,1,,
46,46,62,1,,
47,47,62,1,,
48,48,62,1,,
49,49,62,1,,
50,50,62,1,,
51,51,62,1,,
52,52,62,1,,
53,53,62,1,,
54,54,62,1,,
55,55,62,1,,
56,56,62,1,,
57,57,62,1,,
58,58,62,1,,
59,59,62,1,,
60,60,99,1,,
61,61,99,1,,
62,62,99,1,,
63,63,99,1,,
64,64,99,1,,
65,65,99,1,,
66,66,99,1,,
67,67,99,1,,
68,68,99,1,,
69,69,99,1,,
70,70,99,1,,
71,71,99,1,,
72,72,99,1,,
73,73,99,1,,
74,74,131,1,,
75,75,131,1,,
76,76,136,1,,
77,77,136,1,,
78,78,142,1,,
79,79,152,1,,
80,80,152,1,,
81,81,152,1,,
82,82,161,1,,
83,83,2,1,,
84,84,2,1,,
85,85,2,1,,
86,86,2,1,,
87,87,2,1,,
88,88,2,1,,
89,89,2,1,,
90,90,2,1,,
91,91,2,1,,
92,92,2,1,,
93,93,2,1,,
94,94,2,1,,
95,95,2,1,,
96,96,2,1,,
97,97,2,1,,
98,98,2,1,,
99,99,2,1,,
100,100,2,1,,
101,101,2,1,,
102,102,2,1,,
103,103,2,1,,
104,104,2,1,,
105,105,2,1,,
106,106,2,1,,
107,107,2,1,,
108,108,2,1,,
109,109,2,1,,
110,110,2,1,,
111,111,2,1,,
112,112,191,1,,
113,113,2,1,,
114,114,2,1,,
115,115,2,1,,
116,116,28,1,,
117,117,28,1,,
118,118,28,1,,
119,119,28,1,,
120,120,28,1,,
121,121,28,1,,
122,122,28,1,,
123,123,28,1,,
124,124,28,1,,
125,125,28,1,,
126,126,28,1,,
127,127,28,1,,
128,128,28,1,,
129,129,28,1,,
130,130,28,1,,
131,131,28,1,,
132,132,28,1,,
133,133,28,1,,
134,134,199,1,,
135,135,116,1,,
136,136,116,1,,
137,137,116,1,,
138,138,116,1,,
139,139,259,1,,
140,140,259,1,,
141,141,259,1,,
142,142,188,1,,
143,143,222,1,,
144,144,222,1,,
145,145,222,1,,
146,146,222,1,,
147,147,222,1,,
148,148,222,1,,
149,149,222,1,,
150,150,222,1,,
151,151,222,1,,
152,152,222,1,,
153,153,222,1,,
154,154,222,1,,
155,155,222,1,,
156,156,222,1,,
157,157,222,1,,
158,158,222,1,,
159,159,222,1,,
160,160,222,1,,
161,161,222,1,,
162,162,222,1,,
163,163,222,1,,
164,164,222,1,,
165,165,222,1,,
166,166,222,1,,
167,167,222,1,,
168,168,222,1,,
169,169,222,1,,
170,170,222,1,,
171,171,222,1,,
172,172,222,1,,
173,173,222,1,,
174,174,222,1,,
175,175,222,1,,
176,176,222,1,,
177,177,222,1,,
178,178,222,1,,
179,179,222,1,,
180,180,222,1,,
181,181,222,1,,
182,182,222,1,,
183,183,222,1,,
184,184,222,1,,
185,185,222,1,,
186,186,222,1,,
187,187,222,1,,
188,188,222,1,,
189,189,222,1,,
190,190,222,1,,
191,191,222,1,,
192,192,222,1,,
193,193,222,1,,
194,194,222,1,,
195,195,222,1,,
196,196,222,1,,
197,197,222,1,,
198,198,222,1,,
199,199,222,1,,
200,200,222,1,,
201,201,222,1,,
202,202,222,1,,
203,203,222,1,,
204,204,222,1,,
205,205,222,1,,
206,206,222,1,,
207,207,222,1,,
208,208,222,1,,
209,209,222,1,,
210,210,222,1,,
211,211,222,1,,
212,212,222,1,,
213,213,222,1,,
214,214,222,1,,
215,215,222,1,,
216,216,222,1,,
217,217,222,1,,
218,218,222,1,,
219,219,222,1,,
220,220,222,1,,
221,221,222,1,,
222,222,222,1,,
223,223,222,1,,
224,224,223,1,,
225,225,187,1,,
226,226,187,1,,
227,227,187,1,,
228,228,187,1,,
229,229,187,1,,
230,230,187,1,,
231,231,187,1,,
232,232,187,1,,
233,233,187,1,,
234,234,187,1,,
235,235,187,1,,
236,236,187,1,,
237,237,187,1,,
238,238,187,1,,
239,239,348,1,,
240,243,484,1,,
241,244,484,1,,
242,245,237,1,,
243,246,62,1,,
244,247,505,1,,
245,248,505,1,,
246,249,505,1,,
247,250,505,1,,
248,251,505,1,,
249,252,505,1,,
250,253,505,1,,
251,254,505,1,,
252,255,505,1,,
253,256,505,1,,
254,257,505,1,,
255,258,505,1,,
256,259,505,1,,
257,260,505,1,,
