id,catalog_no,title,year,release_date,omnibus_flag,album_type,note,album_kana,original_release_date
1,,風に吹かれて/雨に眠る,,1995/07/21,0,シングル,,,
2,,遠ざかる雨/海辺にて,,1995/09/21,0,シングル,,,
3,,青春のエキサイトメント,,2017/09/13,0,アルバム,,,
4,,瞬間的シックスセンス,,2019/02/13,0,アルバム,,,
5,,おいしいパスタがあると聞いて,,2020/09/09,0,アルバム,,,
6,,"風とリボン - POTATO STUDIO, June, 2020 -",,2020/09/09,0,アルバム,,,
7,,瞳へ落ちるよレコード,,2022/08/17,0,アルバム,NHK『あいみょん18祭』テーマソング,,
8,,猫にジェラシー,,2024/09/11,0,アルバム,,,
9,,おさらば,,1972/04/25,0,シングル,,,
10,,僕の贈りもの,,1973/02/20,0,シングル,シングルバージョン,,
11,,もう歌は作れない,,1974/04/05,0,シングル,,,
12,,この道をゆけば,,1974/05/05,0,アルバム,,,
13,,忘れ雪,,1974/10/20,0,シングル,,,
14,,秋ゆく街で,,1974/12/20,0,アルバム,,,
15,,ワインの匂い,,1975/12/20,0,アルバム,,,
16,,眠れぬ夜,,1975/12/20,0,シングル,,,
17,,ひとりで生きてゆければ,,1976/05/05,0,シングル,,,
18,,めぐる季節,,1976/10/05,0,シングル,,,
19,,SONG IS LOVE,,1976/11/05,0,アルバム,,,
20,,こころは気紛れ,,1977/02/05,0,シングル,,,
21,,秋の気配,,1977/08/05,0,シングル,,,
22,,JUNKTION,,1977/09/05,0,アルバム,,,
23,,ロンド,,1977/11/20,0,シングル,,,
24,,やさしさにさようなら,,1978/04/05,0,シングル,,,
25,,SELECTION 1973-78,,1978/05/05,0,アルバム,シングルバージョン,,
26,,あなたのすべて,,1978/07/20,0,シングル,,,
27,,FAIRWAY,,1978/10/05,0,アルバム,,,
28,,愛を止めないで,,1979/01/20,0,シングル,,,
29,,風に吹かれて,,1979/06/05,0,シングル,,,
30,,Three and Two,,1979/10/20,0,アルバム,,,
31,,さよなら,,1979/12/01,0,シングル,,,
32,,生まれ来る子供たちのために,,1980/03/05,0,シングル,,,
33,,LIVE,,1980/05/05,0,アルバム,,,
34,,Yes-No,,1980/06/21,0,シングル,,,
35,,We are,,1980/11/21,0,アルバム,,,
36,,時に愛は,,1980/12/01,0,シングル,,,
37,,I LOVE YOU,,1981/06/21,0,シングル,,,
38,,SELECTION 1978-81,,1981/09/01,0,アルバム,,,
39,,over,,1981/12/01,0,アルバム,,,
40,,愛の中へ,,1981/12/01,0,シングル,,,
41,,言葉にできない,,1982/02/01,0,シングル,,,
42,,YES-YES-YES,,1982/06/10,0,シングル,,,
43,,NEXT SOUND TRACK,,1982/09/21,0,アルバム,プロローグ〜こころは気紛れ〜やさしさにさようなら〜風に吹かれて〜恋を抱きしめよう〜眠れぬ夜〜時に愛は〜せつなくて〜きかせて〜揺れる心〜YES-YES-YES〜Yes-No〜一億の夜を越えて〜言葉にできない〜I LOVE YOU〜愛を止めないで,,
44,,君が、嘘を、ついた,,1984/04/21,0,シングル,,,
45,,The Best Year of My Life,,1984/06/21,0,アルバム,,,
46,,夏の日,,1984/07/18,0,シングル,,,
47,,緑の日々,,1984/09/21,0,シングル,,,
48,,call,,1985/02/21,0,シングル,,,
49,,たそがれ,,1985/05/22,0,シングル,,,
50,,Back Streets of Tokyo,,1985/08/01,0,アルバム,原曲：恋人たちのように,,
51,,夏から夏まで,,1985/09/21,0,シングル,,,
52,,ENDLESS NIGHTS,,1985/11/30,0,シングル,,,
53,,IT'S ALL RIGHT,,1987/03/04,0,シングル,,,
54,,as close as possible,,1987/03/28,0,アルバム,,,
55,,もっと近くに,,1987/05/25,0,シングル,,,
56,,君住む街へ,,1988/01/25,0,シングル,,,
57,,Still a long way to go,,1988/06/09,0,アルバム,,,
58,,she's so wonderful,,1988/07/25,0,シングル,,,
59,,夏の別れ,,1988/10/25,0,シングル,,,
60,,青春,,1971/09/25,0,シングル,,,
61,,田中君じゃないか,,1972/02/25,0,シングル,,,
62,,はじめまして,,1972/04/20,0,アルバム,,,
63,,かぐや姫おんすてーじ,,1972/12/20,0,アルバム,,,
64,,かぐや姫さあど,,1973/07/20,0,アルバム,,,
65,,三階建の詩,,1974/03/05,0,アルバム,,,
66,,かぐや姫LIVE,,1974/09/15,0,アルバム,,,
67,,かぐや姫フォーエバー,,1975/03/05,0,アルバム,,,
68,,かぐや姫・今日,,1978/04/25,0,アルバム,,,
69,,the KAGUYAHIME “LIVE”forever,,1985/04/21,0,アルバム,,,
70,,青春の傷み,,2000/10/25,0,シングル,,,
71,,ベスト・ドリーミン コンサート,,2000/11/22,0,アルバム,2000/5/31 NHKホール,,
72,,KAGUYAHIME Best Dreamin',,2010/12/08,0,アルバム,,,
73,,かぐや姫シングル・コレクション,,2017/12/06,0,アルバム,,,1971/09/25
74,,ANOTHERMOOD,,1990/06/21,0,アルバム,,,1983/07/25
75,,脇役であるとも知らずに,,1990/06/21,0,アルバム,,,1984/07/01
