id,name,note
1,IS,
2,伊勢正三,
3,あいみょん,
4,立崎優介・田中ユウスケ,
5,関口シンゴ,
6,Sundayカミデ,
7,近藤隆史・立崎優介・田中ユウスケ,
8,MichaelKaneko,
9,近藤隆史,
10,"立崎優介
田中ユウスケ",
11,トオミヨウ,
12,"近藤隆史
田中ユウスケ",
13,立崎優介,
14,會田茂一,
15,"立崎優介・近藤隆史
田中ユウスケ",
16,"近藤隆史・立崎優介
田中ユウスケ",
17,岡村美央,
18,田中ユウスケ,
19,室屋光一郎,
20,永澤和真,
21,川辺素,
22,カミデ,
23,鈴木正人,
24,KOHD,
25,オフ・コース,
26,東海林修,
27,山上路夫,
28,小田和正,
29,深町純,
30,松山猛,
31,重実博,
32,矢沢透,
33,"ストリングス・ブラス・アレンジ
青木望",
34,鈴木康博,
35,鈴木康博・重実博,
36,-,
37,松本隆,
38,筒美京平,
39,矢野誠,
40,Al Cleveland・Marvin Gaye・Renaldo Benson,
41,A.Cleaveland・M.Gaye・R.Benson,
42,Bernie Taupin,
43,Elton John,
44,William.Salter,
45,Ralph MacDonald,
46,Linda Creed,
47,Thom Bell,
48,Roger Nichols,
49,Paul Williams,
50,J.L.Dabadie,
51,Michel Polnareff,
52,Gilbert O'Sullivan,
53,John Lennon・Pal McCartney,
54,George Harrison,
55,Hal David,
56,Burt Bacharach,
57,民謡,
58,小椋佳,
59,井上陽水,
60,斉藤哲夫,
61,"ストリングス＆ウッドウインド編曲
鈴木康博",
62,オフコース,
63,"ストリングス & ウッドウインド編曲
鈴木康博",
64,小田和正・鈴木康博,
65,青木望,
66,"ホーンセクション編曲
鈴木康博",
67,"ブラスセクション編曲
鈴木康博",
68,松尾一彦,
69,鈴木康博・清水仁,
70,安部光俊,
71,大間仁世 · 松尾一彦,
72,安部光俊・鈴木康博,
73,鈴木康博・大間仁世,
74,鈴木康博・大間仁世・安部光俊,
75,小田和正・大間仁世・松尾一彦,
76,清水仁 · 大間仁世 · 松尾一彦,
77,大間仁世・松尾一彦,
78,JIMMY COMPTON,
79,PHILIP H.RHODES,
80,KAZUMASA ODA,
81,秋元康,
82,小田和正・ランディ・グッドラム,
83,Randy Goodrum,
84,Kazumasa Oda,
85,Peter Wolf and OFF COURSE,
86,Kazuhiko Matsuo,
87,Petr Wolf & OFF COURSE,
88,"小田和正
英語監修 : PHILIP H. RHODES",
89,小田和正・Randy Goodrum,
90,松本一起,
91,清水仁 · 松尾一彦,
92,Dann Huff,
93,松本一起 · 小田和正,
94,小田和正 · 松尾一彦,
95,清水仁・松尾一彦,
96,松本一起・小田和正,
97,吉田拓郎,
98,清水仁,
99,かぐや姫,
100,南 こうせつ,
101,大柿隆,
102,喜多條 忠,
103,小山恭弘,
104,南こうせつ,
105,忌野 清志郎,
106,武田 清一,
107,よしだ たくろう,
108,よしだたくろう,
109,別役 実,
110,小室 等,
111,関沢 新一,
112,山田 つぐと,
113,及川 恒平,
114,石川鷹彦,
115,木田高介,
116,瀬尾一三,
117,喜多条忠,
118,水谷みゆき,
119,神山純,
120,松任谷正隆,
121,佐藤準,
122,水谷公生,
123,石川鷹彦・かぐや姫,
124,山田つぐと,
125,喜多條忠,
126,南 こうせつ・伊勢正三,
127,山田嗣人,
128,よしだ　たくろう,
129,けむ秋尾,
130,すぎやまこういち,
131,ゴンチチ,
132,ゴンザレス三上,
133,ゴンザレス三上・チチ松村,
134,Walfgang Amadeus Mozart,
135,チチ松村,
136,ジ・オフ・コース,
137,ベティ・ディーン,
138,馬飼野俊一,
139,"上条友章
補作曲：村井邦彦",
140,山川啓介,
141,加藤和彦,
142,チューリップ,
143,財津和夫,
144,チューリップ・木田高介,
145,チューリップ・青木望,
146,チューリップ・川口真,
147,安部俊幸,
148,姫野達也,
149,財津和夫・姫野達也,
150,乾裕樹,
151,Bert T.,
152,なごみーず,
153,荒木一郎,
154,北山修,
155,長谷川きよし,
156,日高富明,
157,大瀧詠一,
158,大野真澄,
159,常富喜雄,
160,ジョン・レノン＆オノ・ヨーコ,
