id,track_id,person_id,role_id,instrument,note
1,1,2,2,,
2,1,2,3,,
3,1,1,1,,
4,2,2,2,,
5,2,2,3,,
6,2,1,1,,
7,3,2,2,,
8,3,2,3,,
9,3,1,1,,
10,4,2,2,,
11,4,2,3,,
12,4,1,1,,
13,5,3,2,,
14,5,3,3,,
15,5,3,1,,
16,6,3,2,,
17,6,3,3,,
18,6,4,4,,
19,6,3,1,,
20,7,3,2,,
21,7,3,3,,
22,7,4,4,,
23,7,3,1,,
24,8,3,2,,
25,8,3,3,,
26,8,5,4,,
27,8,3,1,,
28,9,3,2,,
29,9,3,3,,
30,9,6,4,,
31,9,3,1,,
32,10,3,2,,
33,10,3,3,,
34,10,5,4,,
35,10,3,1,,
36,11,3,2,,
37,11,3,3,,
38,11,7,4,,
39,11,3,1,,
40,12,3,2,,
41,12,3,3,,
42,12,4,4,,
43,12,3,1,,
44,13,3,2,,
45,13,3,3,,
46,13,8,4,,
47,13,3,1,,
48,14,3,2,,
49,14,3,3,,
50,14,6,4,,
51,14,3,1,,
52,15,3,2,,
53,15,3,3,,
54,15,4,4,,
55,15,3,1,,
56,16,3,2,,
57,16,3,3,,
58,16,9,4,,
59,16,10,4,,
60,17,3,2,,
61,17,3,3,,
62,17,10,4,,
63,18,3,2,,
64,18,3,3,,
65,18,11,4,,
66,19,3,2,,
67,19,3,3,,
68,19,5,4,,
69,20,3,2,,
70,20,3,3,,
71,20,5,4,,
72,21,3,2,,
73,21,3,3,,
74,21,11,4,,
75,22,3,2,,
76,22,3,3,,
77,22,5,4,,
78,23,3,2,,
79,23,3,3,,
80,23,11,4,,
81,24,3,2,,
82,24,3,3,,
83,24,12,4,,
84,25,3,2,,
85,25,3,3,,
86,25,13,4,,
87,25,12,4,,
88,26,3,2,,
89,26,3,3,,
90,26,5,4,,
91,27,3,2,,
92,27,3,3,,
93,27,14,4,,
94,28,3,2,,
95,28,3,3,,
96,28,15,4,,
97,29,3,2,,
98,29,3,3,,
99,29,10,4,,
100,30,3,2,,
101,30,3,3,,
102,30,5,4,,
103,31,3,2,,
104,31,3,3,,
105,31,16,4,,
106,32,3,2,,
107,32,3,3,,
108,32,5,4,,
109,33,3,2,,
110,33,3,3,,
111,33,11,4,,
112,34,3,2,,
113,34,3,3,,
114,34,11,4,,
115,35,3,2,,
116,35,3,3,,
117,35,16,4,,
118,35,17,5,,
119,36,3,2,,
